,Male,Female
,380,100
,110,120
,500,538
,89,100
,21587,30000
,700,600
,640,607
,200,124
,231,229
,1000,1575
,1000,784
,1000,977
,200,59
,2000,3564
,500,353
,200,120
,174,200
,200,96
,86,300
,200,128
,1000,1858
,3000,2555
,1180,1104
,457,650
,200,83
,408,400
,100,73
,200,14
,200,748
,170,130
,2000,3404
,200,112
,16285,20000
,1000,304
,22,15
,1000,1011
,200,194
,1000,686
,2800,1046
,150,150
,200,194
,30,24
,200,407
,2000,2752
,300,192
,100,23
,1145,1000
,2000,1457
,55,40
,500,460
,21,20
,111,111
,30,11
,23,13
,4,1
Total,69288,81816
