US States,Male,Female
Alabama,44,92
Alaska,42,127
Arizona,164,287
Arkansas,0,50
California,4224,14087
Colorado,292,545
Connecticut,256,249
Delaware,80,72
District of Columbia,40,22
Florida,86,743
Georgia,1397,26
Hawaii,999,174
Idaho,78,4
Illinois,689,1866
Indiana,15,363
Iowa,389,13
Kansas,5,205
Kentucky,33,99
Louisiana,79,24
Maine,24,30
Maryland,2358,517
Massachusetts,117,708
Michigan,1037,214
Minnesota,655,79
Mississippi,14,7
Missouri,106,169
Montana,16,1
Nebraska,22,229
Nevada,180,148
New Hampshire,81,129
New Jersey,657,3181
New Mexico,35,64
New York,5044,897
North Carolina,172,509
North Dakota,3,6
Ohio,458,162
Oklahoma,205,13
Oregon,63,766
Pennsylvania,1229,793
Rhode Island,63,19
South Carolina,102,108
South Dakota,5,57
Tennessee,140,156
Texas,1480,128
Utah,130,30
Vermont,5,86
Virginia,1982,864
Washington,3189,38
West Virginia,0,41
Wisconsin,57,185
Wyoming,3,22
Guam,362,184
Northern Mariana Islands,0,13
Puerto Rico,0,0
U.S. Virgin Islands,0,0
Total,28906,29601
