US States,Male,Female
Alabama,48,51
Alaska,14,3
Arizona,95,74
Arkansas,3,43
California,917,6099
Colorado,173,32
Connecticut,539,253
Delaware,91,16
District of Columbia,26,36
Florida,672,1309
Georgia,206,844
Hawaii,3,14
Idaho,4,5
Illinois,3018,627
Indiana,403,24
Iowa,15,63
Kansas,186,56
Kentucky,87,8
Louisiana,165,81
Maine,27,10
Maryland,724,1121
Massachusetts,512,411
Michigan,241,1067
Minnesota,127,152
Mississippi,20,54
Missouri,172,95
Montana,0,0
Nebraska,1,28
Nevada,103,86
New Hampshire,30,52
New Jersey,2746,1387
New Mexico,1,102
New York,520,15470
North Carolina,27,744
North Dakota,10,15
Ohio,90,489
Oklahoma,105,162
Oregon,1,81
Pennsylvania,502,454
Rhode Island,26,11
South Carolina,98,136
South Dakota,1,4
Tennessee,144,12
Texas,2799,1523
Utah,26,93
Vermont,1,12
Virginia,3182,463
Washington,295,193
West Virginia,31,15
Wisconsin,47,335
Wyoming,8,5
Guam,0,0
Northern Mariana Islands,0,0
Puerto Rico,1,0
U.S. Virgin Islands,0,0
Total,19283,34420
