US States,Male ,Female
Alabama,296,53
Alaska,515,527
Arizona,220,682
Arkansas,42,131
California,64311,2118
Colorado,304,283
Connecticut,255,488
Delaware,64,43
District of Columbia,269,59
Florida,526,2906
Georgia,603,66
Hawaii,2527,10347
Idaho,41,62
Illinois,451,5084
Indiana,467,13
Iowa,149,81
Kansas,58,262
Kentucky,40,165
Louisiana,253,34
Maine,7,30
Maryland,1049,1514
Massachusetts,235,499
Michigan,1335,18
Minnesota,113,527
Mississippi,73,190
Missouri,353,217
Montana,63,7
Nebraska,71,77
Nevada,1631,1289
New Hampshire,30,200
New Jersey,3005,3752
New Mexico,122,10
New York,5737,372
North Carolina,568,52
North Dakota,34,3
Ohio,517,390
Oklahoma,51,195
Oregon,569,108
Pennsylvania,964,123
Rhode Island,30,126
South Carolina,38,356
South Dakota,7,71
Tennessee,181,65
Texas,932,2558
Utah,156,140
Vermont,15,10
Virginia,2348,1429
Washington,152,4600
West Virginia,42,40
Wisconsin,179,256
Wyoming,2,27
Guam,1626,4553
Northern Mariana Islands,31,281
Puerto Rico,1,0
U.S. Virgin Islands,2,4
Total,93660,47493
