US States,Male,Female
Alabama,207,3
Alaska,20,34
Arizona,277,117
Arkansas,89,67
California,8472,18256
Colorado,494,683
Connecticut,319,276
Delaware,82,13
District of Columbia,133,323
Florida,338,1454
Georgia,852,1576
Hawaii,406,9
Idaho,7,145
Illinois,1108,147
Indiana,228,92
Iowa,838,56
Kansas,160,984
Kentucky,636,164
Louisiana,734,91
Maine,30,65
Maryland,139,891
Massachusetts,816,1001
Michigan,139,706
Minnesota,846,499
Mississippi,7,121
Missouri,447,308
Montana,10,15
Nebraska,217,75
Nevada,114,276
New Hampshire,117,43
New Jersey,978,134
New Mexico,74,103
New York,1542,1107
North Carolina,1157,114
North Dakota,17,49
Ohio,248,831
Oklahoma,115,423
Oregon,372,1125
Pennsylvania,848,1555
Rhode Island,61,1
South Carolina,149,110
South Dakota,19,6
Tennessee,384,100
Texas,206,6256
Utah,40,506
Vermont,13,41
Virginia,1075,1738
Washington,2286,1568
West Virginia,2,7
Wisconsin,109,96
Wyoming,7,2
Guam,25,12
Northern Mariana Islands,0,0
Puerto Rico,1,0
U.S. Virgin Islands,0,0
Total,28010,44374
