 US States , Bangladesh , China , India , Iran , Korea , Pakistan , Philippines , Taiwan , Vietnam , Others , Total 
 Alabama , 10 , 94 , 132 , 35 , 26 , 19 , 68 , 16 , 41 , 347 , 788 
 Alaska , 3 , 45 , 11 , 2 , 33 , 3 , 203 , 7 , 10 , 163 , 482 
 Arizona , 32 , 202 , 184 , 66 , 88 , 33 , 176 , 31 , 77 , 857 ," 1,746 "
 Arkansas , 5 , 37 , 47 , 14 , 10 , 9 , 34 , 8 , 30 , 145 , 338 
 California , 490 ," 10,066 "," 5,742 "," 2,918 "," 3,573 "," 1,369 "," 12,962 "," 2,928 "," 5,215 "," 23,660 "," 68,922 "
 Colorado , 25 , 254 , 174 , 70 , 163 , 40 , 114 , 30 , 230 ," 1,252 "," 2,352 "
 Connecticut , 104 , 243 , 382 , 45 , 98 , 154 , 145 , 18 , 116 ," 1,763 "," 3,069 "
 Delaware , 3 , 63 , 113 , 13 , 30 , 21 , 21 , 8 , 18 , 219 , 509 
 District of Columbia , 34 , 90 , 29 , 11 , 12 , 12 , 64 , 2 , 89 , 767 ," 1,110 "
 Florida , 249 , 502 , 863 , 233 , 162 , 386 , 670 , 81 , 350 ," 10,802 "," 14,297 "
 Georgia , 142 , 348 , 706 , 127 , 278 , 205 , 130 , 76 , 474 ," 2,601 "," 5,086 "
 Hawaii , 6 , 386 , 13 , 5 , 229 , 3 ," 2,512 ", 38 , 81 , 886 ," 4,158 "
 Idaho , 1 , 50 , 23 , 10 , 16 , 2 , 20 , 2 , 30 , 142 , 296 
 Illinois , 64 ," 1,086 "," 2,757 ", 139 , 498 , 711 ," 1,080 ", 138 , 245 ," 6,031 "," 12,749 "
 Indiana , 21 , 166 , 300 , 31 , 74 , 83 , 94 , 30 , 62 , 889 ," 1,750 "
 Iowa , 7 , 62 , 103 , 30 , 78 , 15 , 45 , 10 , 174 , 276 , 802 
 Kansas , 11 , 73 , 147 , 40 , 41 , 47 , 62 , 22 , 223 , 434 ," 1,102 "
 Kentucky , 13 , 58 , 95 , 37 , 26 , 18 , 40 , 6 , 156 , 601 ," 1,050 "
 Louisiana , 14 , 75 , 103 , 16 , 20 , 48 , 56 , 10 , 161 , 499 ," 1,002 "
 Maine , 1 , 64 , 33 , 1 , 10 , 7 , 7 , 1 , 18 , 209 , 351 
 Maryland , 122 , 558 , 886 , 290 , 561 , 360 , 500 , 147 , 201 ," 4,274 "," 7,898 "
 Massachusetts , 60 ," 1,084 ", 766 , 126 , 161 , 180 , 143 , 107 , 354 ," 5,334 "," 8,317 "
 Michigan , 237 , 446 ," 1,187 ", 94 , 244 , 255 , 264 , 76 , 165 ," 5,190 "," 8,158 "
 Minnesota , 17 , 216 , 364 , 57 , 143 , 54 , 125 , 34 , 262 ," 2,741 "," 4,014 "
 Mississippi , 6 , 55 , 75 , 2 , 4 , 14 , 51 , 6 , 25 , 139 , 378 
 Missouri , 13 , 158 , 217 , 44 , 54 , 52 , 111 , 36 , 147 ," 1,038 "," 1,870 "
 Montana , 1 , 34 , 6 , 3 , 3 ,0, 14 , 1 , 5 , 74 , 140 
 Nebraska ,0, 42 , 70 , 5 , 49 , 6 , 29 , 2 , 57 , 180 , 438 
 Nevada , 22 , 185 , 116 , 34 , 64 , 37 , 570 , 34 , 76 , 655 ," 1,792 "
 New Hampshire ,0, 58 , 73 , 8 , 41 , 16 , 45 , 5 , 31 , 282 , 558 
 New Jersey , 409 ," 1,054 "," 3,427 ", 114 , 749 , 806 ," 1,318 ", 306 , 217 ," 6,904 "," 15,305 "
 New Mexico , 2 , 61 , 93 , 21 , 19 , 20 , 26 , 14 , 34 , 180 , 470 
 New York ," 3,836 "," 7,080 "," 3,214 ", 286 ," 1,159 "," 3,120 "," 1,192 ", 402 , 517 ," 23,923 "," 44,729 "
 North Carolina , 36 , 254 , 494 , 69 , 133 , 150 , 121 , 43 , 248 ," 1,594 "," 3,142 "
 North Dakota , 2 , 7 , 33 , 2 , 2 , 5 , 7 , 1 , 13 , 186 , 256 
 Ohio , 38 , 394 , 720 , 92 , 121 , 113 , 177 , 95 , 210 ," 2,536 "," 4,497 "
 Oklahoma , 31 , 77 , 163 , 46 , 42 , 52 , 48 , 10 , 105 , 334 , 908 
 Oregon , 7 , 329 , 191 , 58 , 162 , 16 , 132 , 30 , 292 ," 1,126 "," 2,343 "
 Pennsylvania , 131 , 750 , 902 , 103 , 394 , 186 , 212 , 72 , 469 ," 3,197 "," 6,417 "
 Rhode Island , 6 , 58 , 50 , 13 , 16 , 7 , 30 , 3 , 12 , 614 , 810 
 South Carolina , 2 , 77 , 146 , 17 , 41 , 46 , 77 , 12 , 50 , 542 ," 1,009 "
 South Dakota ,0, 10 , 6 , 1 , 12 , 1 , 15 ,0, 5 , 144 , 194 
 Tennessee , 20 , 118 , 233 , 45 , 58 , 30 , 48 , 22 , 94 , 818 ," 1,487 "
 Texas , 410 , 927 ," 2,130 ", 410 , 314 , 843 , 681 , 362 ," 1,261 "," 4,474 "," 11,810 "
 Utah , 4 , 96 , 81 , 68 , 31 , 23 , 58 , 20 , 106 , 878 ," 1,365 "
 Vermont ,0, 24 , 42 , 4 , 18 , 2 , 5 ,0, 10 , 182 , 288 
