Type,Coverage,AreaName,RegName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Asia,Central Asia,..,..,..,..,..,..,..,..,..,..,..,..,2572,3800,5047,5484,6810,5033,1360,2302,3765,5204,5379,3762,4624,6121,7360,7255,9142,8158,7082,7475,7210,
Immigrants,Foreigners,Asia,Eastern Asia,68317,66697,67923,69402,66173,69568,70105,70824,76661,81329,79544,75286,80066,100007,84128,63986,74209,66319,61778,54401,74078,95119,96548,62892,87329,109424,123900,110043,117995,101494,102558,119247,111655,
Immigrants,Foreigners,Asia,South-Eastern Asia,110003,136317,176652,129670,112117,111482,113539,104004,107569,127460,144208,145080,163874,144115,111189,107189,111035,97782,61987,59632,81348,103907,99751,78422,105161,114203,138444,126871,107969,125338,120840,127193,121834,
Immigrants,Foreigners,Asia,Southern Asia,39046,41092,39413,45362,48954,52397,53874,53329,51892,66721,73972,100094,67920,71510,62065,62491,79638,72028,68382,59089,74843,107668,107408,76112,107202,134817,116797,108496,117559,124351,133698,140092,133916,
Immigrants,Foreigners,Asia,Western Asia,18460,19874,19479,16784,16671,16472,17382,17554,18524,22650,25583,24794,36955,37733,32639,29472,35028,27161,22072,21394,27903,33142,30862,22343,29609,37961,45746,36179,37285,45932,51148,51429,49648,
Immigrants,Foreigners,Asia Total,,235826,263980,303467,261218,243915,249919,254900,245711,254646,298160,323307,345254,351387,357165,295068,268622,306720,268323,215579,196818,261937,345040,339948,243531,333925,402526,432247,388844,389950,405273,415326,445436,424263,
Immigrants,Foreigners,Unknown,Unknown,14597,13018,28535,25027,21946,21795,19788,18173,16772,29271,45594,74749,25294,25382,19942,19989,21464,13309,17382,15313,17144,24595,26406,12966,17285,23565,24541,20120,19972,19488,16453,13740,9729,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
