Asians Migration Rate in the USA,,,,,,,,,,,,,,
Year: 2022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"China,",,,,,,,,,,,,
State of intended,Bangladesh,People's,India,Iran,Korea,Pakistan,Philippines,Taiwan,Vietnam,Other,,,,
residence,,Republic,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,"8,621","36,884","36,482","7,883","14,268","13,094","34,466","7,097","17,649","168,575",,,,
Alabama,12,117,165,44,33,24,85,20,51,434,,,,
Alaska,4,56,14,3,41,4,254,9,13,204,,,,
Arizona,40,253,230,82,110,41,220,39,96,"1,071",,,,
Arkansas,6,46,59,17,12,11,42,10,38,181,,,,
California,613,"12,582","7,177","3,647","4,466","1,711","16,202","3,660","6,519","29,575",,,,
Colorado,31,317,218,88,204,50,143,37,287,"1,565",,,,
Connecticut,130,304,478,56,123,193,181,22,145,"2,204",,,,
Delaware,4,79,141,16,37,26,26,10,23,274,,,,
District of Columbia,42,112,36,14,15,15,80,3,111,959,,,,
Florida,311,628,"1,079",291,202,483,837,101,437,"13,502",,,,
Georgia,177,435,882,159,347,256,163,95,592,"3,251",,,,
Hawaii,8,482,16,6,286,4,"3,140",48,101,"1,107",,,,
Idaho,1,63,29,13,20,2,25,2,37,178,,,,
Illinois,80,"1,357","3,446",174,623,889,"1,350",172,306,"7,539",,,,
Indiana,26,208,375,39,92,104,117,38,78,"1,111",,,,
Iowa,9,78,129,38,98,19,56,12,218,345,,,,
Kansas,14,91,184,50,51,59,78,28,279,543,,,,
Kentucky,16,72,119,46,32,23,50,8,195,751,,,,
Louisiana,17,94,129,20,25,60,70,13,201,624,,,,
Maine,1,80,41,1,13,9,9,1,23,261,,,,
Maryland,152,697,"1,108",363,701,450,625,184,251,"5,342",,,,
Massachusetts,75,"1,355",958,158,201,225,179,134,443,"6,668",,,,
Michigan,296,557,"1,484",118,305,319,330,95,206,"6,487",,,,
Minnesota,21,270,455,71,179,68,156,43,328,"3,426",,,,
Mississippi,7,69,94,3,5,18,64,7,31,174,,,,
Missouri,16,197,271,55,67,65,139,45,184,"1,298",,,,
Montana,1,42,8,4,4,0,17,1,6,92,,,,
Nebraska,0,52,88,6,61,7,36,2,71,225,,,,
Nevada,27,231,145,43,80,46,712,42,95,819,,,,
New Hampshire,0,73,91,10,51,20,56,6,39,352,,,,
New Jersey,511,"1,318","4,284",142,936,"1,008","1,648",383,271,"8,630",,,,
New Mexico,2,76,116,26,24,25,32,18,43,225,,,,
New York,"4,795","8,850","4,017",357,"1,449","3,900","1,490",503,646,"29,904",,,,
North Carolina,45,318,618,86,166,188,151,54,310,"1,992",,,,
North Dakota,2,9,41,2,2,6,9,1,16,232,,,,
Ohio,48,493,900,115,151,141,221,119,263,"3,170",,,,
Oklahoma,39,96,204,57,53,65,60,13,131,417,,,,
Oregon,9,411,239,72,202,20,165,38,365,"1,408",,,,
Pennsylvania,164,938,"1,127",129,493,233,265,90,586,"3,996",,,,
Rhode Island,7,73,62,16,20,9,38,4,15,768,,,,
South Carolina,2,96,182,21,51,57,96,15,63,678,,,,
South Dakota,0,13,8,1,15,1,19,0,6,180,,,,
Tennessee,25,148,291,56,72,38,60,28,118,"1,023",,,,
Texas,512,"1,159","2,663",512,392,"1,054",851,452,"1,576","5,592",,,,
Utah,5,120,101,85,39,29,72,25,133,"1,097",,,,
Vermont,0,30,53,5,22,3,6,0,13,228,,,,
Virginia,280,523,910,302,694,889,921,104,686,"5,680",,,,
Washington,23,843,599,210,787,119,"1,159",296,940,"4,365",,,,
West Virginia,1,23,65,10,10,11,20,4,2,136,,,,
Wisconsin,11,234,314,43,59,93,106,50,50,"1,281",,,,
Wyoming,0,10,15,1,6,3,7,0,2,36,,,,
Guam,0,54,10,0,133,0,"1,507",12,9,98,,,,
Northern Mariana Islands,0,10,1,0,3,0,76,0,0,12,,,,
Puerto Rico,2,36,1,0,0,1,1,1,1,230,,,,
U.S. Virgin Islands,0,5,12,0,0,0,6,0,0,581,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
