Asian Country,Unit of Measure,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,10 National Currency Unit per US Dollar,4.735757473,4.750001452,4.7263,4.876275358,4.78453125,4.94945975,4.992533083,4.996201777,5.024961474,5.0325,4.6452461,4.674700774,5.09214,5.53775,5.72475,6.114346154,6.786608577,6.802690408,7.208324718,7.773794918,7.681353644,8.286,9.0381
Sri Lanka,100 National Currency Unit per US Dollar,0.770051167,0.893830133,0.95662065,0.965209508,1.011944575,1.004980517,1.039144458,1.106232333,1.083337627,1.149447833,1.130644804,1.105652079,1.276033535,1.290690309,1.305646852,1.358569128,1.455816675,1.524464139,1.624648587,1.78744925,1.855925578,1.987643168,3.226327
Turkmenistan,National Currency Unit per US Dollar,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,2.287258065,2.85,2.850191667,2.85,2.85,2.85,2.85,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Azerbaijan,National Currency Unit per US Dollar,0.89483075,0.931316667,0.972164167,0.982146,0.9826955,0.945421,0.893445,0.858123808,0.821619579,0.803783333,0.80265,0.789686389,0.785645349,0.784541075,0.7843475,1.024563819,1.595721573,1.721154802,1.700016667,1.7,1.7,1.7,1.7
Georgia,National Currency Unit per US Dollar,1.976166667,2.073016667,2.195675,2.14565,1.91665,1.812675,1.780433333,1.670491667,1.490791667,1.670487097,1.782341667,1.68649543,1.651258333,1.66335,1.765666667,2.269341667,2.366725,2.509541667,2.534110833,2.818145,3.109016667,3.221558333,2.9162
Pakistan,100 National Currency Unit per US Dollar,0.536481865,0.619271617,0.597237817,0.577519967,0.582578633,0.59514475,0.60271335,0.607385158,0.704080333,0.817128917,0.851938163,0.863433833,0.933951972,1.016288992,1.011000884,1.027692716,1.04769117,1.054551621,1.218240689,1.500362538,1.618384797,1.629062537,2.048671875
Tajikistan,National Currency Unit per US Dollar,2.07625,2.372191667,2.764133333,3.061366667,2.970508333,3.116566667,3.298408333,3.442483333,3.430725,4.142708333,4.378966667,4.610183333,4.737708333,4.764233333,4.937566667,6.163116667,7.835675,8.549741667,9.151216667,9.530366667,10.32194167,11.30885,11.031075
"Hong Kong, China",National Currency Unit per US Dollar,7.791166667,7.79875,7.798916667,7.78675,7.788,7.777333333,7.767833333,7.801416667,7.786833333,7.75175,7.769166667,7.784,7.756416667,7.756,7.754083333,7.75175,7.76225,7.79325,7.8385,7.835916667,7.75725,7.77325,7.831416667
Korea,1000 National Currency Unit per US Dollar,1.1303625,1.29079,1.2516025,1.191645833,1.146249167,1.024328333,0.955340833,0.929375833,1.100125833,1.277245833,1.15646,1.108233333,1.126806667,1.0949825,1.05284,1.130525,1.1607675,1.131000833,1.100163333,1.1653575,1.180265833,1.143951667,1.291446667
Bangladesh,10 National Currency Unit per US Dollar,5.214166667,5.580666667,5.7888,5.815004,5.951265833,6.4327475,6.893323333,6.8874875,6.8598275,6.903906667,6.964929167,7.41524,8.186265833,7.8103235,7.764140833,7.794690833,7.846809167,8.043754167,8.346620192,8.44535225,8.487139167,8.508376325,9.174545444
