Bangladesh,China,India,Iran,Korea,Pakistan,Philippines,Taiwan,Vietnam,Others,
12,117,165,44,33,24,85,20,51,434,
4,56,14,3,41,4,254,9,13,204,
40,253,230,82,110,41,220,39,96,1071,
6,46,59,17,12,11,42,10,38,181,
613,12582,7177,3647,4466,1711,16202,3660,6519,29575,
31,317,218,88,204,50,143,37,287,1565,
130,304,478,56,123,193,181,22,145,2204,
4,79,141,16,37,26,26,10,23,274,
42,112,36,14,15,15,80,3,111,959,
311,628,1079,291,202,483,837,101,437,13502,
177,435,882,159,347,256,163,95,592,3251,
8,482,16,6,286,4,3140,48,101,1107,
1,63,29,13,20,2,25,2,37,178,
80,1357,3446,174,623,889,1350,172,306,7539,
26,208,375,39,92,104,117,38,78,1111,
9,78,129,38,98,19,56,12,218,345,
14,91,184,50,51,59,78,28,279,543,
16,72,119,46,32,23,50,8,195,751,
17,94,129,20,25,60,70,13,201,624,
1,80,41,1,13,9,9,1,23,261,
152,697,1108,363,701,450,625,184,251,5342,
75,1355,958,158,201,225,179,134,443,6668,
296,557,1484,118,305,319,330,95,206,6487,
21,270,455,71,179,68,156,43,328,3426,
7,69,94,3,5,18,64,7,31,174,
16,197,271,55,67,65,139,45,184,1298,
1,42,8,4,4,0,17,1,6,92,
0,52,88,6,61,7,36,2,71,225,
27,231,145,43,80,46,712,42,95,819,
0,73,91,10,51,20,56,6,39,352,
511,1318,4284,142,936,1008,1648,383,271,8630,
2,76,116,26,24,25,32,18,43,225,
4795,8850,4017,357,1449,3900,1490,503,646,29904,
45,318,618,86,166,188,151,54,310,1992,
2,9,41,2,2,6,9,1,16,232,
48,493,900,115,151,141,221,119,263,3170,
39,96,204,57,53,65,60,13,131,417,
9,411,239,72,202,20,165,38,365,1408,
164,938,1127,129,493,233,265,90,586,3996,
7,73,62,16,20,9,38,4,15,768,
2,96,182,21,51,57,96,15,63,678,
0,13,8,1,15,1,19,0,6,180,
25,148,291,56,72,38,60,28,118,1023,
512,1159,2663,512,392,1054,851,452,1576,5592,
5,120,101,85,39,29,72,25,133,1097,
0,30,53,5,22,3,6,0,13,228,
280,523,910,302,694,889,921,104,686,5680,
23,843,599,210,787,119,1159,296,940,4365,
1,23,65,10,10,11,20,4,2,136,
11,234,314,43,59,93,106,50,50,1281,
0,10,15,1,6,3,7,0,2,36,
0,54,10,0,133,0,1507,12,9,98,
0,10,1,0,3,0,76,0,0,12,
2,36,1,0,0,1,1,1,1,230,
0,5,12,0,0,0,6,0,0,581,
8620,36883,36482,7883,14263,13094,34428,7097,17649,162521,338920
